timestep,elapsed_s,x,y,heading_deg,speed_ms,speed_kmh,vx,vy,accel_ms2,steering,throttle_brake,total_dist_m,lane_changes,on_broken_line,crash_vehicle,crash_object,reward,cost,current_lane_id,maneuver,reason,block_ahead,dist_to_block_m,vlm_notes,w_efficiency,w_comfort,w_safety,bias_KeepLane,bias_ChangeLaneLeft,bias_ChangeLaneRight,bias_Brake
140,121.6049,129.7525,0.3496,-0.769,12.1271,43.6577,12.1271,-0.0073,-1.03911,0.0406,-0.04767,119.091,2,0,0,0,1.27524,0.0,"('1S0_0_', '2S0_0_', 2)",,,,,,,,,,,,
141,122.4267,130.9626,0.3552,-0.093,12.0037,43.2134,12.0012,0.2479,-1.23437,0.06539,-0.05637,120.301,2,0,0,0,1.2641,0.0,"('1S0_0_', '2S0_0_', 2)",,,,,,,,,,,,
142,123.5121,132.1626,0.3728,0.619,11.9755,43.1119,11.9751,0.1,-0.28178,-0.01642,-0.0118,121.501,2,0,0,0,1.25386,0.0,"('1S0_0_', '2S0_0_', 2)",,,,,,,,,,,,
143,124.5862,133.3595,0.3811,0.557,11.9466,43.0076,11.9465,0.0253,-0.28976,-0.02216,-0.01348,122.698,2,0,0,0,1.25067,0.0,"('1S0_0_', '2S0_0_', 2)",,,,,,,,,,,,
144,125.328,134.5543,0.3847,0.306,11.9469,43.0087,11.9468,0.0322,0.00312,-0.00499,0.00096,123.893,2,0,0,0,1.24855,0.0,"('1S0_0_', '2S0_0_', 2)",,,,,,,,,,,,
145,126.0881,135.7484,0.3909,0.278,11.9275,42.939,11.9269,0.1246,-0.19366,0.01882,-0.00875,125.087,2,0,0,0,1.24786,0.0,"('1S0_0_', '2S0_0_', 2)",,,,,,,,,,,,
146,127.2363,136.94,0.4078,0.631,11.8786,42.7629,11.8751,0.2888,-0.48912,0.04033,-0.02219,126.279,2,0,0,0,1.24497,0.0,"('1S0_0_', '2S0_0_', 2)",,,,,,,,,,,,
147,128.3069,138.1261,0.4411,1.331,11.8219,42.5588,11.812,0.4844,-0.56693,0.05147,-0.02591,127.465,2,0,0,0,1.23939,0.0,"('1S0_0_', '2S0_0_', 2)",,,,,,,,,,,,
148,129.479,139.3066,0.4798,1.792,11.7729,42.3825,11.7708,0.2226,-0.48982,-0.04769,-0.01854,128.646,2,0,0,0,1.23346,0.0,"('1S0_0_', '2S0_0_', 2)",,,,,,,,,,,,
149,130.8662,140.483,0.4985,1.256,11.7342,42.2431,11.7341,0.0473,-0.38734,-0.05138,-0.01704,129.823,2,0,0,0,1.22915,0.0,"('1S0_0_', '2S0_0_', 2)",,,,,,,,,,,,
150,132.076,141.6566,0.5052,0.584,11.7384,42.2583,11.7383,0.0463,0.04242,-0.01239,0.01348,130.997,2,0,0,0,1.22647,0.0,"('1S0_0_', '2S0_0_', 2)",,,,,,,,,,,,
151,132.4637,142.8304,0.5138,0.396,11.7378,42.2562,11.7368,0.1583,-0.00599,0.02302,0.00568,132.17,2,0,0,0,1.22659,0.0,"('1S0_0_', '2S0_0_', 2)",,,,,,,,,,,,
152,133.9997,144.0029,0.5357,0.811,11.6963,42.1068,11.6901,0.3813,-0.41489,0.0558,-0.01721,133.343,2,0,0,0,1.22515,0.0,"('1S0_0_', '2S0_0_', 2)",,,,,,,,,,,,
153,135.1714,145.1706,0.5793,1.732,11.646,41.9258,11.6292,0.626,-0.50292,0.06759,-0.02201,134.512,2,0,0,0,1.22012,0.0,"('1S0_0_', '2S0_0_', 2)",,,,,,,,,,,,
154,135.924,146.333,0.6313,2.402,11.6012,41.7643,11.597,0.3105,-0.44838,-0.0618,-0.01376,135.675,2,0,0,0,1.21462,0.0,"('1S0_0_', '2S0_0_', 2)",,,,,,,,,,,,
