timestep,elapsed_s,x,y,heading_deg,speed_ms,speed_kmh,vx,vy,accel_ms2,steering,throttle_brake,total_dist_m,lane_changes,on_broken_line,crash_vehicle,crash_object,reward,cost,current_lane_id,maneuver,reason,block_ahead,dist_to_block_m,vlm_notes,w_efficiency,w_comfort,w_safety
487,83.5328,459.6335,0.1006,-1.535,4.9144,17.6919,4.9134,-0.0977,0.01397,0.01792,0.00485,450.591,12,0,0,0,0.51333,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
488,83.6415,460.1249,0.0909,-1.393,4.9161,17.6978,4.9153,-0.0886,0.01634,0.01635,0.00567,451.082,12,0,0,0,0.51352,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
489,83.8281,460.6165,0.0822,-1.264,4.9179,17.7044,4.9172,-0.0803,0.01823,0.0149,0.00636,451.574,12,0,0,0,0.51371,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
490,84.1387,461.1082,0.0743,-1.146,4.9199,17.7115,4.9193,-0.0727,0.01984,0.01356,0.00693,452.066,12,0,0,0,0.5139,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
491,84.3251,461.6003,0.0672,-1.038,4.922,17.7191,4.9215,-0.0658,0.02116,0.01234,0.00739,452.558,12,0,0,0,0.51415,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
492,84.4337,462.0924,0.0607,-0.941,4.9242,17.7271,4.9238,-0.0596,0.0222,0.01122,0.00775,453.05,12,0,0,0,0.51435,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
493,84.6196,462.5849,0.0548,-0.852,4.9265,17.7354,4.9262,-0.0539,0.02294,0.01019,0.00803,453.543,12,0,0,0,0.51463,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
494,84.7281,463.0775,0.0495,-0.771,4.9288,17.7438,4.9286,-0.0487,0.02351,0.00925,0.00823,454.035,12,0,0,0,0.51483,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
495,84.9141,463.5705,0.0447,-0.697,4.9312,17.7524,4.931,-0.0441,0.02388,0.00839,0.00836,454.528,12,0,0,0,0.51511,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
496,85.1935,464.0636,0.0403,-0.631,4.9336,17.7611,4.9335,-0.0399,0.02407,0.00761,0.00843,455.021,12,0,0,0,0.51537,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
497,85.3798,464.557,0.0364,-0.57,4.9361,17.7698,4.9359,-0.036,0.02416,0.00689,0.00845,455.515,12,0,0,0,0.51562,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
498,85.4884,465.0507,0.0329,-0.516,4.9385,17.7785,4.9384,-0.0326,0.02406,0.00624,0.00842,456.008,12,0,0,0,0.51584,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
499,85.6744,465.5445,0.0297,-0.466,4.9408,17.787,4.9408,-0.0294,0.02385,0.00565,0.00835,456.502,12,0,0,0,0.5161,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
500,85.7826,466.0387,0.0268,-0.421,4.9432,17.7955,4.9431,-0.0266,0.02358,0.00511,0.00825,456.996,12,0,0,0,0.51639,0.0,"('5S0_0_', '6S0_0_', 2)",,,,,,,,
