timestep,elapsed_s,x,y,heading_deg,speed_ms,speed_kmh,vx,vy,accel_ms2,steering,throttle_brake,total_dist_m,lane_changes,on_broken_line,crash_vehicle,crash_object,reward,cost,current_lane_id,maneuver,reason,block_ahead,dist_to_block_m,vlm_notes,w_efficiency,w_comfort,w_safety
303,45.9226,327.0081,0.0,0.0,16.4329,59.1584,16.4329,-0.0,-1.03798,-0.0,-0.05,317.101,10,0,0,0,1.72553,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,
304,46.0314,328.6493,0.0,-0.0,16.3291,58.7848,16.3291,-0.0,-1.03798,-0.0,-0.05,318.742,10,0,0,0,1.71469,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,
305,46.2021,330.2801,0.0,0.0,16.2253,58.4111,16.2253,0.0,-1.03798,0.0,-0.05,320.373,10,0,0,0,1.70384,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,
306,46.2952,331.9006,0.0,0.0,16.1215,58.0374,16.1215,0.0,-1.03798,-0.0,-0.05,321.993,10,0,0,0,1.693,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,
307,46.4659,333.5107,0.0,0.0,16.0177,57.6637,16.0177,0.0,-1.03798,-0.0,-0.05,323.603,10,0,0,0,1.68216,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,
308,46.5586,335.1104,0.0,0.0,15.9139,57.2901,15.9139,0.0,-1.03782,-0.0,-0.05,325.203,10,0,0,0,1.67131,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,
309,46.7293,336.6997,0.0,0.0,15.8101,56.9165,15.8101,-0.0,-1.03779,-0.0,-0.05,326.792,10,0,0,0,1.66047,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,
310,46.8224,338.2647,0.012,0.373,15.1545,54.5562,15.1455,0.5226,-6.55634,0.21217,-0.46603,328.358,10,0,0,0,1.63323,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,
311,47.0086,339.767,0.0769,2.085,14.5611,52.42,14.513,1.1826,-5.93406,0.27472,-0.45518,329.861,10,0,0,0,1.56784,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,
312,47.1016,341.2057,0.2101,4.88,14.0037,50.4132,13.8696,1.933,-5.57437,0.29761,-0.42176,331.306,10,0,0,0,1.50171,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,
313,47.2724,342.5808,0.4186,8.351,13.5328,48.7182,13.266,2.6742,-4.70841,0.2666,-0.3536,332.697,10,0,0,0,1.43596,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,
314,47.3655,343.896,0.7005,12.161,13.1277,47.2597,12.6821,3.3912,-4.05144,0.19918,-0.26716,334.042,10,1,0,0,1.37426,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,
315,47.5518,345.1581,1.044,15.871,12.8574,46.2866,12.2822,3.8026,-2.70301,0.10272,-0.16588,335.35,10,1,0,0,1.31994,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,
